# newspaper.csv — Winkleman Travel Newspaper Clippings
#
# Each row is one clipping — an ad, a feature article, a brief mention,
# anything in print about or from Winkleman Travel. Image files live in
# images/newspaper/{slug}.{ext}.
#
# The page renders all clippings in a single chronological grid sorted
# by date. Feature articles span the full width of the grid; regular ads
# fill the remaining columns. Tilts, offsets, and pin/tape styles are
# auto-generated from each row's slug — same slug always produces the
# same look, but the composition feels naturally varied.
#
# Columns:
#   slug         filename stem (no extension). e.g. "1984-09-07-rih"
#   ext          image extension: "png", "jpg", "webp"
#   title        short headline shown in caption
#   byline       optional, only shown on feature articles
#   publication  publication code (rih, rijh, jvh, options) or full name
#   date         YYYY-MM-DD; sorts the corkboard and renders as
#                "September 7, 1984" in the caption
#   size         "feature" for full-width centerpiece treatment, blank otherwise
#   tilt         OPTIONAL. Leave blank or 0 to auto-generate a stable random
#                tilt from the slug. Set explicitly (e.g. -3) to override.
#   offset_y     OPTIONAL. Same as tilt — blank or 0 auto-generates.
#   style        OPTIONAL. "pin" or "tape". Blank auto-picks based on slug.
#   notes        optional internal notes — ignored by the site
#
# Publication codes recognized today (add more in PUBLICATION_NAMES in ads.html):
#   rih      Rhode Island Herald
#   rijh     Rhode Island Jewish Herald
#   jvh      Jewish Voice and Herald
#   options  Options · Rhode Island LGBTQ+ Magazine
#
# Lines starting with # are ignored. The CSV row order doesn't matter —
# the page sorts everything by date.
#
# IMPORTANT: avoid editing this file in Excel or Numbers if you can.
# Spreadsheet apps mangle CSV comments. Use a plain text editor.
#
slug,ext,title,byline,publication,date,size,tilt,offset_y,style,notes
1991-02-28-rijh,png,Fly non-stop El Al,,rijh,1991-02-28,,0,0,pin,Ad for Winkleman Travel's Israel tours with El Al
1991-03-14-rijh,png,Winkleman Travel Home Of The Special Agents,Kathy Cohen,rijh,1991-03-14,feature,0,0,pin,Article about Winkleman Travel
1991-07-25-rijh,png,Israel Tours,,rijh,1991-07-25,,0,0,pin,Ad for Winkleman Travel's Israel tours
1991-10-10-rijh,png,Round trip Boston to london,,rijh,1991-10-10,,0,0,pin,Ad for Winkleman Travel's Boston to London route
1991-10-31-rijh,png,Listen to the Winkleman Travel Radio Show,,rijh,1991-10-31,,0,0,pin,Ad for Winkleman Travel's radio show
1991-11-14-rijh,png,Misc Tours,,rijh,1991-11-14,,0,0,pin,Ad for Winkleman Travel's miscellaneous tours
1992-01-02-rijh,png,Last Call for Israel Tours,,rijh,1992-01-02,,0,0,pin,Ad for Winkleman Travel's Israel tours
1992-09-17-rijh,png,This Year See Israel,,rijh,1992-09-17,,0,0,pin,Ad for Winkleman Travel's Israel tours
1993-08-19-rijh,png,Israel Tours,,rijh,1993-08-19,,0,0,pin,Ad for Winkleman Travel's Israel tours
1993-09-23-rijh,png,New Price for Israel Tours,,rijh,1993-09-23,,0,0,pin,Ad for Winkleman Travel's Israel tours
1993-11-18-rijh,png,Low Winter Airfares to Israel,,rijh,1993-11-18,,0,0,pin,Ad for Winkleman Travel's Israel tours
1994-01-06-rijh,png,Airfare sale,,rijh,1994-01-06,,0,0,pin,Ad for Winkleman Travel's airfare sale
1994-02-17-rijh,png,This year... take a delux tour to Europe,,rijh,1994-02-17,,0,0,pin,Ad for Winkleman Travel's deluxe tours to Europe
1994-04-07-rijh,png,Happy 46th birthday Israel,,rijh,1994-04-07,,0,0,pin,Coupon for Winkleman Travel's Israel tours
1995-01-05-rijh,png,Israel tours,,rijh,1995-01-05,,0,0,pin,Ad for Winkleman Travel's Israel tours
1995-02-16-rijh,png,New York to Israel,,rijh,1995-02-16,,0,0,pin,Ad for Winkleman Travel's Israel tours
1995-04-20-rijh,png,New York to Israel,,rijh,1995-04-20,,0,0,pin,Ad for Winkleman Travel's Israel tours
1995-10-05-rijh,png,Last minute cruise spectacular,,rijh,1995-10-05,,0,0,pin,Ad for Winkleman Travel's last minute cruise packages
1996-04-18-rijh,png,Israel Election Day special,,rijh,1996-04-18,,0,0,pin,Ad for Winkleman Travel's Israel tours
1996-12-19-rijh,png,Las Vegas tours,,rijh,1996-12-19,,0,0,pin,Ad for Winkleman Travel's Las Vegas tour packages
1997-03-options-lgbtq,png,Travel with Pride,,options,1997-03-01,,0,0,pin,Ad for Winkleman Travel's LGBTQ+ travel services
1998-11-05-rijh,png,Israel tours,,rijh,1998-11-05,,0,0,pin,Ad for Winkleman Travel's Israel tours
1999-03-11-rijh,png,Kosher Alaska Cruise,,rijh,1999-03-11,,0,0,pin,Ad for Winkleman Travel's kosher Alaska cruise
1999-10-27-rijh,png,Israel tours,,rijh,1999-10-27,,0,0,pin,Ad for Winkleman Travel's Israel tours
2004-11-19-jvh,png,Swiss Air Israel Package,,jvh,2004-11-19,,0,0,pin,Ad for Winkleman Travel's Swiss Air Israel package
2005-08-19-jvh,png,Go to Israel This Year,,jvh,2005-08-19,,-3,0,pin,
2006-02-03-jvh,png,Honeymoons All Over The World,,jvh,2006-02-03,,1.5,15,tape,
